a,biomasa
0.000000000000000000e+00,5.200555206039628041e-21
1.578947368421052544e-01,5.515689606128612780e-21
3.157894736842105088e-01,6.328802764649140762e-21
4.736842105263157632e-01,7.154164659628441396e-21
6.315789473684210176e-01,9.307468156486614253e-21
7.894736842105263275e-01,1.130360260945659280e-20
9.473684210526315264e-01,1.634232703758351110e-20
1.105263157894736725e+00,4.359973678631588747e-20
1.263157894736842035e+00,4.886470891477621148e-01
1.421052631578947345e+00,1.122115471202032033e+00
1.578947368421052655e+00,1.919551953235570263e+00
1.736842105263157743e+00,2.827490307373739853e+00
1.894736842105263053e+00,3.463840387842987312e+00
2.052631578947368141e+00,3.790846890547675319e+00
2.210526315789473450e+00,4.114602391822689498e+00
2.368421052631578760e+00,4.435886215626013040e+00
2.526315789473684070e+00,4.755240002563384749e+00
2.684210526315789380e+00,5.073053876283886154e+00
2.842105263157894690e+00,5.389617030373099027e+00
3.000000000000000000e+00,5.705148994296889597e+00
